experiment	strain_type
SRX3789407	PAO1
SRX3789406	PA14
SRX3789405	PA14
SRX3789404	PA14
SRX3789401	PA14
SRX3789418	PA14
SRX3789400	PA14
ERX2456848	PAO1
ERX2456849	PAO1
ERX2456850	PAO1
ERX2456854	PAO1
ERX2456855	PAO1
ERX2456859	PAO1
SRX3323668	PAO1
SRX3323667	PAO1
SRX3323666	PAO1
SRX3323665	PAO1
SRX3324112	PAO1
SRX3324113	PAO1
SRX3324114	PAO1
SRX3324115	PAO1
SRX3324116	PAO1
SRX3324117	PAO1
SRX3918611	PAO1
SRX3918612	PAO1
SRX3918613	PAO1
SRX3918614	PAO1
SRX3918615	PAO1
SRX3918616	PAO1
SRX3918617	PA14
SRX3918618	PA14
SRX3918619	PA14
SRX3918620	PA14
SRX3918621	PA14
SRX3918622	PA14
ERX2195929	PAO1
ERX2195930	PAO1
ERX2195931	PAO1
ERX2195932	PAO1
ERX2195933	PAO1
ERX2195934	PAO1
SRX5572477	PAO1
SRX6747941	PAO1
SRX5630349	PAO1
SRX5620828	PA14
SRX5620825	PA14
SRX1177860	PA14
SRX6981195	PA14
SRX6867890	PA14
SRX6747952	PAO1
SRX7058513	PAO1
SRX540112	PAO1
SRX7036367	PA14
SRX7036372	PA14
SRX7058515	PAO1
SRX7058512	PAO1
SRX7058509	PAO1
SRX7058495	PAO1
SRX6867892	PA14
SRX7058511	PAO1
SRX5728473	PAO1
SRX6478147	PAO1
SRX1100227	PAO1
SRX6579275	PA14
SRX5534355	PAO1
SRX5534375	PAO1
SRX5572468	PAO1
SRX5572887	PA14
SRX7442758	PAO1
SRX6981197	PAO1
SRX6923945	PAO1
SRX6352907	PAO1
SRX5630352	PAO1
SRX6923932	PAO1
SRX7747527	PAO1
SRX6437688	PA14
SRX6747255	PAO1
SRX6747950	PAO1
SRX6478154	PAO1
SRX7058514	PAO1
SRX7058507	PAO1
SRX7058494	PAO1
SRX1177857	PA14
SRX1156999	PA14
SRX6923943	PAO1
SRX5534354	PAO1
SRX5572888	PA14
SRX5728472	PAO1
SRX5728470	PAO1
SRX5620823	PA14
SRX6747942	PAO1
SRX6747955	PAO1
SRX6747956	PAO1
SRX5728475	PAO1
SRX5728478	PAO1
SRX6923944	PAO1
SRX6478153	PAO1
SRX9288355	PAO1
SRX7058492	PAO1
SRX5534361	PAO1
SRX5534364	PAO1
SRX5534367	PAO1
SRX5534378	PAO1
SRX6478152	PAO1
SRX6853212	PAO1
SRX1177865	PA14
SRX1150275	PA14
SRX383864	PAO1
SRX7058498	PAO1
SRX7058496	PAO1
SRX7044148	PAO1
SRX6478150	PAO1
SRX5661364	PAO1
SRX5661365	PAO1
SRX2342957	PAO1
SRX5572469	PAO1
SRX5572470	PAO1
SRX1157000	PA14
SRX1491238	PAO1
SRX7442759	PAO1
SRX5572479	PAO1
SRX5572901	PA14
SRX5572892	PA14
SRX6747946	PAO1
